,005001.OF,zhouqi,xiaofei,zhizao,TMT,jinrong
2019/9/3,0.0069,0.005334781,-0.001418158,0.002442655,0.022943711,-0.000875558
2019/9/4,0.0043,0.016440853,-0.000419469,0.005271424,0.007902119,0.017492128
2019/9/5,0.0134,0.005856218,0.004201147,0.008125097,0.016940188,0.014535654
2019/9/6,0.0021,-7.46E-05,0.000757695,0.005498581,0.011229541,0.008315546
2019/9/9,0.0189,0.014738579,0.005037273,0.014494839,0.042057069,0.003351043
2019/9/10,-0.0063,1.61E-03,0.005387092,-0.002350718,-0.010047607,-0.003231301
2019/9/11,-0.0031,-0.001288075,-0.019627924,-0.003899042,-0.010744602,0.004504553
2019/9/12,0.0083,0.005363645,0.007657196,0.005464853,0.006048522,0.014134802
2019/9/16,0.0052,0.002837575,-0.000469438,0.000598338,0.010980667,-0.009068754
2019/9/17,-0.02,-0.019884845,-0.012733979,-0.021723133,-0.025015954,-0.018219439
2019/9/18,-0.0016,-0.003818333,0.012889848,0.000304268,0.000526143,0.001264924
2019/9/19,0.0104,0.006253613,0.005109909,0.007478176,0.019402606,0.001954691
2019/9/20,-0.0026,-0.000586356,0.003614344,0.003415042,0.005012357,0.000661312
2019/9/23,-0.0067,-0.01263229,-0.012625156,-0.010068578,0.001360608,-0.01224745
2019/9/24,0.0123,-0.000580427,0.007551553,0.003273579,0.006420663,-0.000755563
2019/9/25,-0.011,-0.008297434,-0.009224364,-0.01511376,-0.029375371,-0.001425556
2019/9/26,-0.0207,-0.018233802,-0.01653913,-0.018471853,-0.037110383,0.001470695
2019/9/27,0.0094,0.002174544,0.004996699,0.00363394,0.018229324,0.001058825
2019/9/30,-0.003,-0.005200753,-0.004513619,-0.008124457,-0.02043429,-0.012857461
2019/10/8,-0.0038,0.003971998,0.010224216,0.000665308,-0.011522392,0.010056213
2019/10/9,0.008,0.008045997,-0.003393785,0.006500055,0.008465131,0.0099485
2019/10/10,0.0143,0.006594605,0.016599252,0.012435091,0.01968029,0.002697946
2019/10/11,0.0031,0.004139895,0.004323018,0.003655421,0.000375601,0.016436634
2019/10/14,0.0082,0.008955977,0.00698945,0.012587179,0.02279298,0.0156441
2019/10/15,-0.0124,-0.01169205,0.002109379,-0.009405292,-0.023855156,-0.003669385
2019/10/16,0.0049,-0.004537583,-0.004760143,-0.007450136,-0.003278561,-0.000879153
2019/10/17,-0.0019,-0.001119359,0.000301777,-0.002638294,0.004794821,-0.000987603
2019/10/18,-0.0128,-0.012107917,-0.006305016,-0.013159275,-0.015863386,-0.018353405
2019/10/21,0.0035,-0.002321061,-0.001172799,-0.004256506,-0.003482689,0.007786766
2019/10/22,0.004,0.005237239,0.010105594,0.007067533,0.018359872,0.000557436
2019/10/23,-0.0115,-0.005496467,-0.00907111,-0.006010801,-0.003938371,-0.005832026
2019/10/24,-0.0003,-0.001649332,-0.006222964,-0.000250165,-0.002519643,0.007010708
2019/10/25,0.0105,0.005246214,0.014694163,0.00563534,0.011474959,-0.000392429
2019/10/28,0.0215,0.009546943,0.01274958,0.011587561,0.036980085,0.001610281
2019/10/29,-0.017,-0.011831523,0.005999213,-0.012288773,-0.020794822,-0.008065033
2019/10/30,-0.0055,-0.009784133,-0.007631112,-0.007902032,-0.006298448,-0.005058169
2019/10/31,-0.0064,-0.006219196,0.002033426,-0.006884096,-0.013003335,-0.003339882
2019/11/1,0.0075,0.010020363,0.016305703,0.009872903,0.010598831,0.018595336
2019/11/4,0.0106,0.004108577,0.009224438,0.004532199,0.010685214,0.003871768
2019/11/5,0.0085,0.004953272,0.003805924,0.003546178,0.006219864,0.008792947
2019/11/6,-0.0088,-0.003886099,-0.007958309,-0.003511848,-0.012832777,-0.002983324
2019/11/7,0.0074,0.001475991,0.007448744,0.002164057,0.009677358,0.000425526
2019/11/8,-0.0011,-0.004456199,-0.00184729,-0.001418809,0.001349825,-0.009839908
2019/11/11,-0.0213,-0.024288226,-0.020635635,-0.019999436,-0.022523265,-0.016551856
2019/11/12,-0.0032,0.002085939,0.001151055,0.000793088,0.000161168,0.00185364
2019/11/13,0.0075,-0.004068121,0.004671696,-0.004212472,0.005472012,-0.006661764
2019/11/14,0.0035,0.003494578,0.005492074,0.002484489,0.014607874,-0.002157386
2019/11/15,-0.0064,-0.012109401,-0.00977776,-0.008949439,-0.008841642,-0.004231428
2019/11/18,0.0115,0.008328422,0.005224026,0.007384363,0.009223783,0.010930134
2019/11/19,0.0257,0.015562923,0.014400931,0.015115921,0.02353862,0.004718746
2019/11/20,-0.0036,-0.00297836,-0.003776219,-0.007501534,-0.008547695,-0.014380509
2019/11/21,-0.0035,0.000872987,-0.007584189,0.00216529,-0.000782279,-0.004377585
2019/11/22,-0.0141,0.004068965,-0.021556967,-0.002220755,-0.018728427,-0.005274347
2019/11/25,-0.0084,0.021646841,-0.003847795,0.007395572,-0.021040839,0.012331492
2019/11/26,0.0001,-0.005594582,0.005689198,0.003428722,0.00674185,-0.003732299
2019/11/27,-0.0039,-0.00113339,-0.00471758,-0.003592645,0.007789172,-0.003196208
2019/11/28,-0.0085,-0.004178639,-0.000681207,-0.003042376,-0.002485984,-0.00447146
2019/11/29,0.001,-0.003838481,-0.015287988,0.001018897,0.004148039,-0.003597285
2019/12/2,0.0106,0.000588143,-0.001781615,0.001445111,0.007569536,0.004034392
2019/12/3,0.0023,0.003205239,0.002432072,0.005189878,0.0077838,0.005582597
2019/12/4,-0.0004,0.002249458,0.004206952,-0.000148653,0.00100723,-0.004619889
2019/12/5,0.0152,0.006043249,0.006642774,0.009916573,0.018918598,0.007491368
2019/12/6,0.0049,0.00321981,0.010633734,0.005225066,0.012386209,0.002170186
2019/12/9,0.0058,0.008508288,-0.006535364,0.001232878,0.006861007,0.000592657
2019/12/10,0.0064,0.002250419,0.002810179,0.001896609,0.016168012,-0.002408803
2019/12/11,0.0016,-0.000655092,-0.005147181,0.000664588,-0.007455973,0.006885508
2019/12/12,-0.0005,-0.003201902,-0.003110598,-0.001912881,0.002718905,-0.003251796
2019/12/13,0.0135,0.010676126,0.016799165,0.012760547,0.012762951,0.025787501
2019/12/16,0.0159,0.01079804,0.002368005,0.014814247,0.029798276,0.003245936
2019/12/17,0.0089,0.014560965,0.011550808,0.010050649,0.013413006,0.017131982
2019/12/18,-0.005,-0.002579362,-0.003769602,-0.001675477,0.004812232,0.00070857
2019/12/19,0.003,0.005318205,0.001075284,0.004200242,-0.003108688,1.97E-05
2019/12/20,-0.0056,-0.006975257,-0.003847162,-0.00683145,-0.016905401,0.002051572
2019/12/23,-0.0121,-0.011269163,-0.009574839,-0.014385512,-0.028134514,-0.016839819
2019/12/24,0.0084,0.019240426,0.005549831,0.014242699,0.020409715,0.004548034
2019/12/25,0.0052,0.001040845,-0.00262804,0.005025826,0.014780298,-0.003152786
2019/12/26,0.007,0.012439289,0.005784003,0.005698621,0.004698131,0.014237313
2019/12/27,-0.0089,0.005062125,0.001703815,-0.00276764,-0.018964215,-0.003948445
2019/12/30,0.0081,0.013570604,0.011701495,0.009883174,0.004842969,0.018501974
2019/12/31,0.0037,0.008052843,0.011276858,0.003370841,0.003097092,-0.000694312
2020/1/2,0.0156,0.015323192,0.007326741,0.01644788,0.034397571,0.012298359
2020/1/3,0.0017,0.005684013,-0.006697655,0.003320589,0.008685648,3.22E-05
2020/1/6,0.0104,0.011551469,-0.00296147,0.004086514,0.012452151,-0.006018452
2020/1/7,0.0095,0.003390942,0.017541294,0.009202235,0.014063499,0.006504681
2020/1/8,-0.007,-0.010581054,-0.007935665,-0.003401098,-0.016681032,-0.019354017
2020/1/9,0.0173,0.005018486,0.018546856,0.010691813,0.027014178,0.0098962
2020/1/10,-0.0031,-0.003578178,0.004056768,-0.005830224,0.000566708,-0.002005978
