基金代码,总市值,一致预期PE,每股一致预期增速,静态pe,毛利率,净利率,roe,roic,经营现金流净额/净利润,资产负债率,静态pb,总市值排名,一致预期PE排名,每股一致预期增速排名,静态pe排名,毛利率排名,净利率排名,roe排名,roic排名,经营现金流净额/净利润排名,资产负债率排名,静态pb排名,股票个数,前十大股票占比,前三大行业占比,股票个数排名,前十大股票占比排名,前三大行业占比排名,换手率,换手率排名
004040.OF,1302.420438,43.73941206,122.7731588,58.38074799,55.53053092,23.28893698,20.51140757,19.19443265,85.06095755,24.81335884,10.71895237,0.287043665,0.723693629,0.98138869,0.772369363,0.992841804,0.939155333,0.955977094,0.965998568,0.993557623,0.096993558,0.901216893,37,65.66,94.61,0.292770222,0.913385827,0.99928418,2.058111543,0.401932713
004044.OF,382.2971982,56.70987336,36.03773896,45.80073689,38.08966919,11.99197218,9.23450127,9.43486731,56.49266396,24.89464285,7.8100779,0.03614889,0.951682176,0.313886901,0.565139585,0.807802434,0.260916249,0.174659986,0.261632069,0.234430923,0.097709377,0.595919828,30,50.13,67.65,0.161238368,0.636005727,0.822476736,2.016610203,0.391553329
004050.OF,692.0133497,48.81586703,18.56819019,47.05904472,28.76524693,10.40444807,6.83381397,7.82291161,52.57113314,26.94744579,6.05262795,0.119183966,0.850751611,0.106299213,0.587329993,0.42627058,0.173228346,0.099856836,0.16607015,0.187544739,0.124194703,0.366857552,28,45.27,43.67,0.127773801,0.513600573,0.40658554,2.153552276,0.42591267
004075.OF,1234.136052,52.74154118,45.04256558,66.42167843,42.74416497,20.80719469,15.98735549,15.73975003,76.4814243,27.11332829,11.39638369,0.270579814,0.90694345,0.454903364,0.87007874,0.88904796,0.868289191,0.773085183,0.871868289,0.868289191,0.127773801,0.938439513,57,48.9,87.51,0.640658554,0.605583393,0.96385111,2.089567132,0.408732999
004076.OF,3920.117106,46.86546017,30.85054828,42.36222722,45.28127412,18.04594965,15.68193486,16.81604961,72.12589495,37.76340641,10.5660307,0.786685755,0.802433787,0.238367931,0.507516106,0.923407301,0.720472441,0.752684324,0.914101646,0.7226199,0.456692913,0.891553329,49,50.48,81,0.517358626,0.645490336,0.928775948,6.781609008,0.892627058
004091.OF,2755.422935,42.20594701,75.10356208,22.59903131,27.9611718,16.65202716,17.09925587,14.58634384,70.49540948,39.70044341,9.40973804,0.630637079,0.675017895,0.827487473,0.205440229,0.382247674,0.623478883,0.845382963,0.811023622,0.642090193,0.566929134,0.7956335,48,39.83,51.99,0.501610594,0.374373658,0.578382248,2.318688471,0.460272011
004098.OF,2623.792242,13.5851526,10.35144948,6.29812127,12.26579922,15.01053098,8.00456849,3.79570459,57.69554429,55.7754384,0,0.608446671,0.015748031,0.042233357,0.046528275,0.068002863,0.493557623,0.125626342,0.064065855,0.248031496,0.978525412,0.003042233,50,31.43,61.94,0.533464567,0.213314245,0.751610594,1.031341002,0.144953472
004099.OF,4777.926356,30.91390175,46.66565653,34.53875952,29.1813813,19.5239811,15.71616142,11.62932135,62.13318805,50.44411083,6.74413303,0.868647101,0.266642806,0.482820329,0.367931281,0.452040086,0.811381532,0.756621331,0.484609878,0.339298497,0.947387258,0.451324266,287,21.94,31.67,0.98138869,0.106299213,0.152111668,3.610010939,0.670722978
004112.OF,5176.392883,49.36832106,54.74101731,72.61952265,51.90773566,29.42917385,20.42997862,17.71340912,81.47964097,39.56601681,12.32429136,0.891195419,0.861130995,0.605941303,0.922691482,0.98067287,0.992483894,0.954903364,0.937365784,0.965998568,0.560486757,0.968503937,22,66.85,52.99,0.051717967,0.924302076,0.598425197,4.094818681,0.723693629
004119.OF,1860.500862,17.39363778,49.66713347,16.4078029,28.21421909,12.89268222,14.63685233,13.29982075,71.86021284,37.22249164,4.19358753,0.433786686,0.03758053,0.530422334,0.144237652,0.396921976,0.320687187,0.650322119,0.68539728,0.707229778,0.429849678,0.207587688,24,64.19,40.41,0.069971367,0.897637795,0.319255548,2.211342689,0.438797423
004128.OF,374.570213,28.06744829,31.0444537,39.05256208,23.44872831,12.26402399,11.85274682,11.22594003,74.78607135,45.56831837,4.91418291,0.034001432,0.189692198,0.2408733,0.453829635,0.200429492,0.280601288,0.362562634,0.433428776,0.809234073,0.847888332,0.264853257,30,52.98,82.28,0.161238368,0.707945598,0.935934145,1.07449168,0.155332856
004135.OF,1130.603992,36.05428474,93.24048099,57.29494623,32.74800148,17.80233764,15.51048084,14.30715592,76.32264348,40.71987328,8.34632809,0.244094488,0.442376521,0.933428776,0.751968504,0.634931997,0.7043665,0.737652112,0.790980673,0.864710093,0.63027917,0.671796707,84,19.57,50.5,0.841088046,0.09305655,0.554581246,6.451082767,0.880816034
004138.OF,5847.527474,19.97632845,17.84714772,19.04390502,28.4154115,16.85731438,14.99999874,12.25663588,65.56931669,33.76182443,4.20009499,0.931639227,0.056549749,0.098425197,0.172154617,0.405153901,0.638869005,0.691839656,0.564781675,0.44488189,0.282032928,0.209377237,41,50.04,40.16,0.37007874,0.634753042,0.311381532,0.925732691,0.120615605
004139.OF,493.2430859,42.10574315,46.17731331,50.04224944,28.40766982,15.17498951,10.2908871,9.91545272,70.60148503,33.86854771,6.49963234,0.061202577,0.670365068,0.471725125,0.62992126,0.404795991,0.506800286,0.238367931,0.299212598,0.649248389,0.288117394,0.415175376,25,56.57,74.57,0.081603436,0.779885469,0.887616321,1.073466745,0.154974946
004142.OF,713.3076009,31.51392805,18.06584032,18.79199115,8.67753826,3.73575824,3.08132673,2.9775523,9.02343488,16.30796877,1.44743102,0.125626342,0.284538296,0.100572656,0.168933429,0.042949177,0.03758053,0.034001432,0.044022906,0.006084467,0.052612742,0.046886185,39,17.86,12.37,0.330887616,0.080171797,0.040085898,2.378084765,0.470651396
